"mention_name","mention_type","mention_popularity","mention_address","zip_code","mention_longitude","mention_latitude","no_of_blogFiles","mention_found_in_blogFiles"
"""canyon lake , canyon hills""","place_of_worship","1","""Newport Beach California Temple, Bonita Canyon Drive, Newport Center, Newport Beach, Orange County, California, 92612, United States of America""","92612","-117.8505242","33.629297","1","santa barbara_and_temecula.json"
"""santa monica , ocean park""","museum","1","""California Heritage Museum, Main Street, Santa Monica, Los Angeles County, California, 90291, United States of America""","90291","-118.4834533","34.0015316","5","""irvine_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_santa monica.json,san jose_and_santa monica.json"""
"#altadena","town","3","""Altadena, Los Angeles County, California, United States of America""","","-118.1352328","34.1863161","3","""anaheim_and_santa monica.json,beverly hills_and_huntington beach.json,pasadena_and_santa monica.json"""
"' angeles crest highway","secondary","1","""Angeles Crest Highway, La Ca��ada Flintridge, Los Angeles County, California, 91011, United States of America""","91011","-118.2000652","34.2122297","13","""beverly hills_and_pismo beach.json,carlsbad_and_santa barbara.json,huntington beach_and_san bernardino.json,huntington beach_and_santa clarita.json,monterey_and_san diego.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san luis obispo_and_santa clarita.json,santa barbara_and_santa clarita.json"""
"' arena boulevard","primary","1","""Arena Boulevard, Sacramento, Sacramento County, California, 95834, United States of America""","95834","-121.5255377","38.6430887","3","""berkeley_and_carlsbad.json,carlsbad_and_san jose.json,san jose_and_temecula.json"""
"' ballet san jose","dancing_school","1","""Vertin San Jose Ballet School, North 4th Street, Saint James Square Historic District, Japantown, San Jos��, Santa Clara County, California, 95112, United States of America""","95112","-121.889416554925","37.33987275","1","san jose_and_stockton.json"
"' breakwater way beach","residential","1","""Breakwater Circle, Huntington Beach, Orange County, California, 92646, United States of America""","92646","-117.9639742","33.6516134","1","los angeles_and_san diego.json"
"' canyon lake","administrative","1","""Canyon Lake, Riverside County, California, United States of America""","","-117.262615","33.6836539","2","""newport beach_and_oakland.json,newport beach_and_sacramento.json"""
"' castle park","hamlet","1","""Castle Park, San Diego County, California, United States of America""","","-117.0675277","32.6103329","1","irvine_and_santa cruz.json"
"' channel islands","garden","1","""Channel Islands, Evolution Walk, Warner Center, LA, Los Angeles County, California, 91307, United States of America""","91307","-118.5759409","34.1848815","3","""fresno_and_los angeles.json,los angeles_and_oakland.json,newport beach_and_san jose.json"""
"' channel islands national park","national_park","5","""Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America""","93006","-119.266377755078","34.248597","12","""avalon_and_malibu.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_mammoth lakes.json,huntington beach_and_malibu.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_san diego.json,mammoth lakes_and_santa ana.json,monterey_and_newport beach.json,newport beach_and_santa cruz.json"""
"' death valley","desert","4","""Death Valley, Timbisha, Inyo County, California, 92328, United States of America""","92328","-116.914043572057","36.42404725","6","""bakersfield_and_fremont.json,bakersfield_and_san diego.json,fremont_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san francisco.json,sacramento_and_san bernardino.json"""
"' death valley national park","national_park","4","""Death Valley National Park, Lucky Wash Road, Skidoo, Inyo County, California, United States of America""","","-117.102293507719","36.4914385","26","""anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_stockton.json,berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san diego.json,berkeley_and_santa barbara.json,berkeley_and_carlsbad.json,beverly hills_and_sacramento.json,carlsbad_and_oakland.json,fresno_and_oakland.json,fresno_and_sacramento.json,long beach_and_sacramento.json,malibu_and_oakland.json,malibu_and_san francisco.json,mammoth lakes_and_riverside.json,mammoth lakes_and_santa ana.json,napa_and_santa barbara.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_santa barbara.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,santa barbara_and_stockton.json"""
"' desert hills","hotel","1","""Desert Hills, San Jacinto Drive, Palm Springs, Riverside County, California, 92262, United States of America""","92262","-116.5525497","33.8208901","1","big bear lake_and_san diego.json"
"' harbor dive center","scuba_diving","1","""Harbor Dive Center, 200, Harbor Drive, Sausalito, Marin County, California, 94965, United States of America""","94965","-122.4988634","37.8681089","4","""oakland_and_sausalito.json,san bernardino_and_sausalito.json,san francisco_and_sausalito.json,san jose_and_sausalito.json"""
"' hill park","bench","1","""Hill Park, Macalla Road, SF, California, 94130, United States of America""","94130","-122.3706428","37.8122249","1","oakland_and_san francisco.json"
"' island drive","secondary","1","""Island Drive, Alameda, Alameda County, California, 94502, United States of America""","94502","-122.2377187","37.7431747","3","""berkeley_and_carlsbad.json,carlsbad_and_san jose.json,san jose_and_temecula.json"""
"' lake arrowhead","water","1","""Lake Arrowhead, Shelter Cove Lane, North Shore, San Bernardino County, California, 92407, United States of America""","92407","-117.185753981831","34.2592869","1","avalon_and_big bear lake.json"
"' lake tahoe","water","1","""Lake Tahoe, Placer County, California, United States of America""","","-120.050511752934","39.0888982","1","long beach_and_sacramento.json"
"' northland","residential","1","""Caminito Northland, La Jolla, San Diego, San Diego County, California, 92037, United States of America""","92037","-117.2404329","32.835396","1","big bear lake_and_oakland.json"
"' ocean","residential","5","""Ocean, Hawthorne, Los Angeles County, California, 90261, United States of America""","90261","-118.3763704","33.9157306","14","""anaheim_and_carlsbad.json,avalon_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_pasadena.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_san jose.json,fremont_and_temecula.json,huntington beach_and_los angeles.json,newport beach_and_temecula.json,san jose_and_temecula.json,santa ana_and_santa barbara.json"""
"' ocean beach","region","4","""Ocean Beach, San Diego, San Diego County, California, United States of America""","","-117.249321","32.7477784","23","""anaheim_and_carlsbad.json,anaheim_and_san francisco.json,avalon_and_carlsbad.json,avalon_and_san bernardino.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_san jose.json,carlsbad_and_los angeles.json,newport beach_and_san diego.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san diego_and_santa monica.json,san francisco_and_temecula.json,san jose_and_temecula.json"""
"' ocean park","hamlet","2","""Ocean Park, Los Angeles County, California, United States of America""","","-118.4836878","34.0022327","3","""beverly hills_and_monterey.json,beverly hills_and_san jose.json,pasadena_and_san jose.json"""
"' ocean park boulevard","tertiary","2","""Ocean Park Boulevard, Santa Monica, Los Angeles County, California, 90405, United States of America""","90405","-118.4845887","34.001857","7","""berkeley_and_malibu.json,berkeley_and_santa monica.json,fremont_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json"""
"' ocean park inn","motel","1","""Ocean Park Inn, 4431, Ocean Boulevard, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America""","92109","-117.2559169","32.794937","4","""berkeley_and_malibu.json,berkeley_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json"""
"' ocean view blvd","secondary","1","""Ocean View Boulevard, North Park, San Diego, San Diego County, California, 92113, United States of America""","92113","-117.1198103","32.7012313","7","""berkeley_and_newport beach.json,long beach_and_oakland.json,napa_and_newport beach.json,monterey_and_newport beach.json,newport beach_and_oakland.json,newport beach_and_san francisco.json,newport beach_and_san luis obispo.json"""
"' ocean view hotel santa monica","hotel","1","""Ocean View Hotel, Ocean Avenue, Santa Monica, Los Angeles County, California, 90401, United States of America""","90401","-118.496622749769","34.0132753","6","""berkeley_and_malibu.json,berkeley_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json"""
"' river park","park","1","""River Park, Erlewine Circle, Sacramento, Sacramento County, California, 95819, United States of America""","95819","-121.4486569","38.5840776","1","san jose_and_santa clarita.json"
"' sequoia national park","national_park","1","""Sequoia National Park, Black Rock Pass Trail, Mineral King, Tulare County, California, United States of America""","","-118.559919284386","36.49584065","1","long beach_and_sacramento.json"
"' soda lake","water","1","""Soda Lake, Soda Lake Road, San Luis Obispo County, California, United States of America""","","-119.895515964214","35.23913735","47","""berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_santa barbara.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,long beach_and_napa.json,long beach_and_pismo beach.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_pismo beach.json,los angeles_and_san jose.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_stockton.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,newport beach_and_santa barbara.json,newport beach_and_santa cruz.json,pismo beach_and_riverside.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa cruz.json,san bernardino_and_san francisco.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,san jose_and_santa barbara.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa cruz.json,santa barbara_and_stockton.json,santa cruz_and_santa monica.json"""
"' surfing santa","museum","1","""Santa Cruz Surfing Museum, West Cliff Drive, Lighthouse/West Cliff, Westside, Santa Cruz, Santa Cruz County, California, 95060, United States of America""","95060","-122.0266902","36.9514908","1","carlsbad_and_santa cruz.json"
"' the channel islands national park","national_park","1","""Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America""","93006","-119.266377755078","34.248597","1","avalon_and_malibu.json"
"' the virgin river","stream","1","""Virgin Creek, Trinity County, California, United States of America""","","-123.3510334","41.0290028","5","""berkeley_and_big bear lake.json,big bear lake_and_fremont.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_sausalito.json"""
"' tower bridge","secondary","2","""Tower Bridge, Sacramento, Sacramento County, California, 95814, United States of America""","95814","-121.5072445","38.5802766","2","""bakersfield_and_sacramento.json,fresno_and_sacramento.json"""
"' union square","park","1","""Union Square, Post Street, Chinatown, SF, California, 94115, United States of America""","94115","-122.407502671706","37.78794125","1","san diego_and_sausalito.json"
"' valley street","residential","1","""Valley Street, Echo Park, Angelino Heights, LA, Los Angeles County, California, 90057, United States of America""","90057","-118.2725091","34.0652666","4","""big bear lake_and_santa clarita.json,mammoth lakes_and_santa clarita.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json"""
"' way northern california","locality","1","""Northern Frontier, San Diego, San Diego County, California, United States of America""","","-117.1545973","32.7349196","5","""avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,irvine_and_sacramento.json"""
"101","car_sharing","6","""Gough & Market (City College), Gough Street, Western Addition, SF, California, 94114, United States of America""","94114","-122.4213849","37.772385","17","""anaheim_and_berkeley.json,anaheim_and_oakland.json,avalon_and_monterey.json,berkeley_and_carlsbad.json,beverly hills_and_san francisco.json,carlsbad_and_fremont.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,los angeles_and_monterey.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,malibu_and_pismo beach.json,san diego_and_san jose.json,san francisco_and_santa barbara.json,san jose_and_santa barbara.json,newport beach_and_sausalito.json"""
"101 freeway","motorway","1","""Jacob Dekema Freeway, San Diego, San Diego County, California, 92122, United States of America""","92122","-117.1993642","32.8749469","4","""los angeles_and_napa.json,malibu_and_napa.json,napa_and_san diego.json,napa_and_santa monica.json"""
"101 pacific coast","primary","2","""Coast Highway, Montage Resort & Spa, Laguna Beach, Orange County, California, 92651, United States of America""","92651","-117.743638","33.501431","1","pasadena_and_santa barbara.json"
"101 pacific coast hwy","primary","1","""Coast Highway, Montage Resort & Spa, Laguna Beach, Orange County, California, 92651, United States of America""","92651","-117.743638","33.501431","1","pasadena_and_santa barbara.json"
"101woodland hills","residential","1","""The Hills, Yorba Linda, Orange County, California, 92887, United States of America""","92887","-117.732371978438","33.8818158","1","fresno_and_santa clarita.json"
"1st street santa ana","secondary","1","""1st Street, Santa Ana, Orange County, California, 92703, United States of America""","92703","-117.9135838","33.7451514","1","newport beach_and_santa ana.json"
"2008san diego","residential","1","""San Diego Avenue, Riverside, Riverside County, California, 92506, United States of America""","92506","-117.3905671","33.9498976","1","riverside_and_san diego.json"
"2016capitola beach","service","1","""Beach, Pismo Beach Senior Mobile Home Park, Pismo Beach, San Luis Obispo County, California, 93449, United States of America""","93449","-120.6345489","35.13738","9","""avalon_and_santa cruz.json,carlsbad_and_santa cruz.json,huntington beach_and_santa cruz.json,irvine_and_santa cruz.json,long beach_and_santa cruz.json,riverside_and_santa cruz.json,san bernardino_and_santa cruz.json,san diego_and_santa cruz.json,santa cruz_and_temecula.json"""
"24415 town center drive","secondary","1","""Town Center Drive, Oxnard, Ventura County, California, 93036, United States of America""","93036","-119.1826021","34.2425118","4","""big bear lake_and_santa clarita.json,mammoth lakes_and_santa clarita.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json"""
"2nd avenue","residential","1","""2nd Avenue, Lower Seabright, Seabright, Santa Cruz, Santa Cruz County, California, 95062, United States of America""","95062","-122.0063271","36.9648576","2","""avalon_and_napa.json,avalon_and_stockton.json"""
"3rd avenue","tertiary","1","""3rd Avenue, Hillcrest, San Diego, San Diego County, California, 92103, United States of America""","92103","-117.1620703","32.723042","3","""avalon_and_bakersfield.json,avalon_and_napa.json,avalon_and_stockton.json"""
"3rd street","residential","1","""3rd Street, Palo Verde, Imperial County, California, United States of America""","","-114.7323179","33.430206","1","beverly hills_and_san jose.json"
"7th st/metro center station","subway_entrance","1","""7th St / Metro Center Station, 7th St Bike Lane, Jewelry District, Bunker Hill, LA, Los Angeles County, California, 90071, United States of America""","90071","-118.258548","34.0486862","1","beverly hills_and_pasadena.json"
"7th street","secondary","1","""7th Street, Victorville, San Bernardino County, California, 92395, United States of America""","92395","-117.2972526","34.5327613","1","avalon_and_pasadena.json"
"7th/metro center","station","1","""7th Street/Metro Center, 7th St Bike Lane, Jewelry District, Bunker Hill, LA, Los Angeles County, California, 90071, United States of America""","90071","-118.2587136","34.0487072","1","avalon_and_pasadena.json"
"849 ocean avenue","secondary","1","""Ocean Avenue, Ingleside, SF, California, 94112, United States of America""","94112","-122.4444973","37.7229299","2","""berkeley_and_malibu.json,berkeley_and_santa monica.json"""
"a.k smiley library","library","1","""A K Smiley Public Library, Eureka Street, Redlands, San Bernardino County, California, 92373, United States of America""","92373","-117.1840683","34.0542324","1","san bernardino_and_temecula.json"
"abalone cove","residential","1","""Abalone Cove, Port Hueneme, Ventura County, California, 93041, United States of America""","93041","-119.2143939","34.17974","1","los angeles_and_malibu.json"
"abalone cove shoreline park","parking","3","""Abalone Cove Shoreline Park, Palos Verdes Drive South, Ranchos Palos Verdes, Los Angeles County, California, 90275, United States of America""","90275","-118.381346621066","33.7438366","26","""beverly hills_and_huntington beach.json,irvine_and_los angeles.json,irvine_and_san jose.json,irvine_and_santa clarita.json,irvine_and_santa cruz.json,los angeles_and_malibu.json,long beach_and_los angeles.json,los angeles_and_riverside.json,los angeles_and_santa ana.json,los angeles_and_santa clarita.json,los angeles_and_stockton.json,los angeles_and_santa cruz.json,pasadena_and_riverside.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san diego_and_santa ana.json,san diego_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"""
"abbey road","residential","1","""Abbey Road, Reseda, LA, Los Angeles County, California, 91335, United States of America""","91335","-118.5284034","34.1849058","1","big bear lake_and_santa ana.json"
"abilene","camp_site","2","""Abilene, 31422, Borrego Palm Canyon Road, San Diego County, California, United States of America""","31422","-116.5717963","33.3519443","7","""bakersfield_and_newport beach.json,fremont_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,newport beach_and_oakland.json,oakland_and_riverside.json,oakland_and_santa ana.json"""
"about california","residential","1","""Ride About Lane, San Diego, San Diego County, California, 92129, United States of America""","92129","-117.1376569","32.950764","2","""avalon_and_big bear lake.json,avalon_and_malibu.json"""
"abrego street","primary","2","""Abrego Street, Monterey, Monterey County, California, 93940, United States of America""","93940","-121.8925113","36.5937718","2","""monterey_and_stockton.json,santa monica_and_stockton.json"""
"academy road","secondary","1","""Academy Road, New Chinatown, Angelino Heights, LA, Los Angeles County, California, 90012, United States of America""","90012","-118.2438563","34.0791529","1","san bernardino_and_santa monica.json"
"acapulco","residential","1","""Acapulco, Palmia, Mission Viejo, Orange County, California, 92679, United States of America""","92679","-117.6338804","33.6520043","1","huntington beach_and_san jose.json"
"acorn street","residential","1","""Acorn Street, Chatsworth, LA, Los Angeles County, California, 91311, United States of America""","91311","-118.6085783","34.2462718","1","beverly hills_and_big bear lake.json"
"acton","administrative","4","""Acton, Wisconsin Street, Paris, Los Angeles County, California, 93510, United States of America""","93510","-118.186837763866","34.4807415","18","""bakersfield_and_malibu.json,berkeley_and_malibu.json,berkeley_and_riverside.json,fresno_and_malibu.json,fresno_and_riverside.json,los angeles_and_mammoth lakes.json,long beach_and_mammoth lakes.json,malibu_and_oakland.json,malibu_and_sacramento.json,malibu_and_stockton.json,malibu_and_mammoth lakes.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa clarita.json,oakland_and_santa barbara.json,pasadena_and_riverside.json,riverside_and_stockton.json,santa clarita_and_stockton.json"""
"adams avenue","tertiary","2","""Adams Avenue, Linda Rosa, Murrieta, Riverside County, California, 92562, United States of America""","92562","-117.1929278","33.5405364","4","""fremont_and_newport beach.json,san bernardino_and_temecula.json,san diego_and_temecula.json,pasadena_and_san bernardino.json"""
"adana","residential","1","""East Adana Street, Compton, Los Angeles County, California, 90221, United States of America""","90221","-118.19551","33.8823826","1","irvine_and_los angeles.json"
"addison street","residential","2","""Addison Street, Sherman Oaks, LA, Los Angeles County, California, 91403, United States of America""","91403","-118.4530744","34.1612322","1","avalon_and_berkeley.json"
"adelaida cemetery","grave_yard","1","""Adelaida Cemetery, Adelaida Road, Paso Robles, San Luis Obispo County, California, United States of America""","","-120.8740513","35.6563724","4","""bakersfield_and_long beach.json,fremont_and_long beach.json,fresno_and_long beach.json,long beach_and_stockton.json"""
"adelaide","monument","1","""The Adelaide Hostel, 5, Isadora Duncan Lane, Nob Hill, SF, California, 94102, United States of America""","94102","-122.4121497","37.7874832","2","""long beach_and_mammoth lakes.json,mammoth lakes_and_santa cruz.json"""
"adelaide drive","residential","1","""Adelaide Drive, Riviera, LA, Los Angeles County, California, 90402, United States of America""","90402","-118.5122006","34.0303283","1","san bernardino_and_santa monica.json"
"admiralty","residential","1","""Admiralty Avenue, Riverside, Riverside County, California, 92503, United States of America""","92503","-117.4472569","33.9314094","1","san bernardino_and_santa monica.json"
"admiralty island","residential","1","""Admiralty Cross, Crown Island, Coronado, San Diego County, California, 92118, United States of America""","92118","-117.1349789","32.628273","1","big bear lake_and_stockton.json"
"adriatic","residential","1","""Adriatic Place, Mira Mesa, San Diego, San Diego County, California, 92126, United States of America""","92126","-117.1528089","32.925228","1","long beach_and_oakland.json"
"adventure park visalia","theme_park","1","""Adventure Park, West Cypress Avenue, Visalia, Tulare County, California, 93277, United States of America""","93277","-119.352945975","36.326007","8","""bakersfield_and_fresno.json,bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_stockton.json,fresno_and_napa.json,fresno_and_sacramento.json,fresno_and_stockton.json"""
"adventureland","locality","3","""Adventureland, Anaheim, Orange County, California, United States of America""","","-117.920201837749","33.8107086","5","""anaheim_and_los angeles.json,anaheim_and_mammoth lakes.json,anaheim_and_sausalito.json,long beach_and_mammoth lakes.json,mammoth lakes_and_santa ana.json"""
"africa","residential","16","""Africa Street, Lower Bottoms, Oakland, Alameda County, California, 94626, United States of America""","94626","-122.3064005","37.8212626","43","""anaheim_and_sausalito.json,berkeley_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_san francisco.json,bakersfield_and_santa cruz.json,berkeley_and_oakland.json,berkeley_and_sacramento.json,berkeley_and_san diego.json,berkeley_and_san francisco.json,berkeley_and_stockton.json,beverly hills_and_san francisco.json,big bear lake_and_stockton.json,carlsbad_and_santa cruz.json,fremont_and_sacramento.json,fremont_and_san diego.json,fremont_and_san francisco.json,fresno_and_san francisco.json,fresno_and_santa cruz.json,fresno_and_santa monica.json,huntington beach_and_sausalito.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_san francisco.json,long beach_and_sausalito.json,los angeles_and_sausalito.json,malibu_and_san francisco.json,monterey_and_santa barbara.json,napa_and_sacramento.json,mammoth lakes_and_pismo beach.json,mammoth lakes_and_sausalito.json,monterey_and_santa monica.json,oakland_and_stockton.json,pasadena_and_san francisco.json,pasadena_and_sausalito.json,riverside_and_san francisco.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_sausalito.json,san francisco_and_temecula.json,newport beach_and_sausalito.json,sacramento_and_san francisco.json,san jose_and_santa monica.json,santa ana_and_sausalito.json"""
"agnew rd","secondary","1","""Agnew Road, Santa Clara, Santa Clara County, California, 95054, United States of America""","95054","-121.9488924","37.3943647","2","""monterey_and_santa clarita.json,santa clarita_and_santa cruz.json"""
"agnew road","secondary","2","""Agnew Road, Santa Clara, Santa Clara County, California, 95054, United States of America""","95054","-121.9488924","37.3943647","14","""fremont_and_san francisco.json,fremont_and_san jose.json,fremont_and_santa clarita.json,fresno_and_san jose.json,fresno_and_santa clarita.json,oakland_and_san jose.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,san francisco_and_santa clarita.json,san francisco_and_stockton.json,san jose_and_santa clarita.json,santa clarita_and_sausalito.json,san jose_and_stockton.json,santa clarita_and_stockton.json"""
"agoura","hamlet","1","""Agoura, Los Angeles County, California, United States of America""","","-118.7381106","34.1430352","1","los angeles_and_malibu.json"
"agua dulce","hamlet","1","""Agua Dulce, Los Angeles County, California, United States of America""","","-118.3256347","34.4963817","1","santa barbara_and_santa clarita.json"
"agua dulce canyon road","secondary","1","""Agua Dulce Canyon Road, Agua Dulce, Los Angeles County, California, 91390, United States of America""","91390","-118.3262663","34.492444","4","""big bear lake_and_santa clarita.json,mammoth lakes_and_santa clarita.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json"""
"agua mansa pioneer cemetery","memorial","3","""Agua Mansa Pioneer Cemetery, 2001, Agua Mansa Road, Colton, San Bernardino County, California, 92324, United States of America""","92324","-117.364453265289","34.0415618","11","""bakersfield_and_long beach.json,beverly hills_and_san luis obispo.json,fremont_and_long beach.json,fremont_and_santa barbara.json,fresno_and_long beach.json,long beach_and_stockton.json,sacramento_and_san luis obispo.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa ana.json,san bernardino_and_santa barbara.json,sacramento_and_san bernardino.json"""
"aguanga","hamlet","2","""Aguanga, Riverside County, California, United States of America""","","-116.8650234","33.4428094","56","""anaheim_and_carlsbad.json,anaheim_and_fresno.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,bakersfield_and_san bernardino.json,avalon_and_sausalito.json,bakersfield_and_long beach.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,big bear lake_and_santa ana.json,big bear lake_and_santa clarita.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_santa clarita.json,carlsbad_and_stockton.json,fresno_and_los angeles.json,fresno_and_san bernardino.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,long beach_and_stockton.json,long beach_and_temecula.json,los angeles_and_riverside.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_riverside.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,monterey_and_san bernardino.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san diego.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_santa clarita.json,san bernardino_and_sausalito.json,san diego_and_santa clarita.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_santa clarita.json,santa monica_and_sausalito.json,stockton_and_temecula.json"""
"ahwahnee hotel","yes","1","""The Majestic Yosemite Hotel, Ahwahnee Drive, Yosemite Village, Yosemite Valley, Mariposa County, California, United States of America""","","-119.574631137758","37.74630845","4","""los angeles_and_mammoth lakes.json,mammoth lakes_and_monterey.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san francisco.json"""
"air museum","museum","1","""San Diego Air & Space Museum, Pan American Plaza, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""","92101","-117.154373558605","32.72624805","2","""mammoth lakes_and_san diego.json,mammoth lakes_and_santa barbara.json"""
"airbnb","company","1","""Airbnb, 888, Brannan Street, West SoMa, SF, California, 94103, United States of America""","94103","-122.4054483","37.7719568","5","""anaheim_and_fremont.json,fremont_and_fresno.json,fremont_and_stockton.json,fremont_and_temecula.json,fremont_and_riverside.json"""
"airport boulevard","secondary","1","""Airport Boulevard, Westchester, Playa Vista, LA, Los Angeles County, California, 90045, United States of America""","90045","-118.3853594","33.9634961","1","bakersfield_and_sacramento.json"
"airport road","tertiary","1","""Airport Road, LA, Los Angeles County, California, 90045-5663, United States of America""","90045","-118.385856","33.9438886","4","""avalon_and_oakland.json,long beach_and_san francisco.json,oakland_and_san diego.json,san diego_and_sausalito.json"""
"airport way santa ana","unclassified","1","""Airport Way, Orange County, California, 92707, United States of America""","92707","-117.858458","33.6818537","7","""fremont_and_santa ana.json,irvine_and_santa ana.json,los angeles_and_santa ana.json,oakland_and_santa ana.json,pasadena_and_santa ana.json,sacramento_and_santa ana.json,san diego_and_santa ana.json"""
"akron","residential","1","""Akron Street, Pacific Palisades, LA, Los Angeles County, California, 90272, United States of America""","90272","-118.5429008","34.0505724","1","fremont_and_long beach.json"
"al tahoe","hamlet","2","""Al Tahoe, El Dorado County, California, United States of America""","","-119.9835147","38.9418523","3","""mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"""
"al tahoe boulevard","tertiary","2","""Al Tahoe Boulevard, South Lake Tahoe, El Dorado County, California, 96151, United States of America""","96151","-119.9750956","38.9343753","3","""mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"""
