attraction_in,attraction_longitude,attraction_latitude,attraction_in_file
Topanga,-118.5970195,34.0908165,topanga.json
Westlake Village,-118.8056473,34.1458389,westlake_village.json
Agoura,-118.7381106,34.1430352,agoura.json
Simi Valley,-118.7814819,34.2694474,simi_valley.json
Fillmore,-118.9125092,34.3985613,fillmore.json
Moorpark,-118.8820413,34.285558,moorpark.json
Thousand Oaks,-118.910587629744,34.17142715,thousand_oaks.json
Santa Paula,-119.0592704,34.3541659,santa_paula.json
Newbury Park,-118.9106524,34.184172,newbury_park.json
Camarillo,-119.0376023,34.2163939,camarillo.json
Somis,-118.9962123,34.2572261,somis.json
Ventura,-119.310582204204,34.364744,ventura.json
Ojai,-119.2428889,34.4480495,ojai.json
Frazier Park,-118.957762768551,34.8115546,frazier_park.json
Pine Mountain Club,-119.168961537075,34.843156,pine_mountain_club.json
Arvin,-118.8284309,35.209129,arvin.json
Gorman,-118.8535679,34.7942511,gorman.json
Lebec,-118.892844953761,34.8401975,lebec.json
Lake Hughes,-118.4487111,34.6774576,lake_hughes.json
Oxnard,-119.1803817,34.1976308,oxnard.json
Port Hueneme,-119.1951073,34.1477829,port_hueneme.json
Piru,-118.7939823,34.4152743,piru.json
Agoura Hills,-118.7745347,34.1363945,agoura_hills.json
Manila,-124.1622855,40.8517929,manila.json
Cantil,-117.968403,35.3088502,cantil.json
Boron,-117.668060165467,35.0199035,boron.json
Ridgecrest,-117.6699413,35.6225064,ridgecrest.json
Edwards,-117.9350682,34.9260827,edwards.json
Rosamond,-118.1634074,34.8641446,rosamond.json
China Lake,-117.6617299,35.6507888,china_lake.json
Lancaster,-118.1366152,34.6981064,lancaster.json
Trona,-117.3728345,35.7627322,trona.json
Littlerock,-117.987393496953,34.5213675,littlerock.json
Pearblossom,-117.909788,34.506383,pearblossom.json
Palmdale,-118.1171107,34.5793131,palmdale.json
Azusa,-117.9056045,34.1338751,azusa.json
Glendora,-117.8653389,34.1361187,glendora.json
Wrightwood,-117.627599739034,34.3583535,wrightwood.json
Mount Baldy,-117.6600552,34.2361168,mount_baldy.json
Covina,-117.8891163,34.0877926,covina.json
Phelan,-117.5725025,34.426298,phelan.json
Irwindale,-117.9353412,34.1069527,irwindale.json
Alta Loma,-117.5985774,34.122887,alta_loma.json
Victorville,-117.2911564,34.5361067,victorville.json
Rancho Cucamonga,-117.5751734,34.1033192,rancho_cucamonga.json
Arcadia,-118.0401496,34.1362075,arcadia.json
Apple Valley,-117.1858758,34.5008311,apple_valley.json
El Monte,-118.0368489,34.0751571,el_monte.json
Sierra Madre,-118.0528455,34.1616729,sierra_madre.json
Montebello,-118.1119749,34.0159398,montebello.json
South El Monte,-118.0467338,34.0519548,south_el_monte.json
Adelanto,-117.4092149,34.5827699,adelanto.json
Whittier,-118.0336974,33.9748932,whittier.json
Oro Grande,-117.3342133,34.5988813,oro_grande.json
Monterey Park,-118.1292289,34.0512156,monterey_park.json
Barstow,-117.0172076,34.8957684,barstow.json
South Pasadena,-118.147829,34.1133062,south_pasadena.json
Hacienda Heights,-117.9686754,33.9930677,hacienda_heights.json
Pasadena,-118.1444778,34.1476452,pasadena.json
San Marino,-118.1057393,34.1215947,san_marino.json
La Habra,-117.9461073,33.9318775,la_habra.json
City of Industry,-117.944400918335,34.01132905,city_of_industry.json
Yorba Linda,-117.8255938,33.890107,yorba_linda.json
Chino Hills,-117.7600559,33.9926803,chino_hills.json
Irvine,-117.8259818,33.6856969,irvine.json
Placentia,-117.8617336,33.8714814,placentia.json
Chino,-117.6900749,34.0133561,chino.json
San Gabriel,-118.108604,34.0991325,san_gabriel.json
Altadena,-118.1352328,34.1863161,altadena.json
Pomona,-117.7517495,34.0553813,pomona.json
La Canada Flintridge,-118.2005235,34.1998302,la_canada_flintridge.json
La Verne,-117.7678354,34.1008426,la_verne.json
Monrovia,-118.0014516,34.1483499,monrovia.json
Anaheim,-117.9117319,33.8347516,anaheim.json
Costa Mesa,-117.9033169,33.6633386,costa_mesa.json
Cypress,-118.0399367,33.8248235,cypress.json
Buena Park,-117.9962164,33.870413,buena_park.json
Orange,-117.870493,33.7500378,orange.json
Laguna Beach,-117.7834146,33.5420888,laguna_beach.json
Laguna Hills,-117.6882066,33.5948758,laguna_hills.json
Aliso Viejo,-117.7258121,33.5761376,aliso_viejo.json
Lake Forest,-117.6859212,33.6469261,lake_forest.json
Laguna Niguel,-117.7075525,33.5225261,laguna_niguel.json
Mission Viejo,-117.6594049,33.5965685,mission_viejo.json
Rancho Santa Margarita,-117.602934,33.6408845,rancho_santa_margarita.json
Dana Point,-117.6981074,33.4669721,dana_point.json
Santa Ana,-117.8732212,33.7494951,santa_ana.json
Tustin,-117.8261659,33.7458511,tustin.json
Santa Margarita,-120.6090569,35.3899734,santa_margarita.json
Atascadero,-120.6707254,35.4894169,atascadero.json
Corona del Mar,-117.1033901,32.4978999,corona_del_mar.json
Templeton,-120.7060048,35.5496939,templeton.json
San Juan Capistrano,-117.6625508,33.5016932,san_juan_capistrano.json
San Clemente,-117.6124178,33.4270275,san_clemente.json
Paso Robles,-120.6912455,35.6267654,paso_robles.json
San Miguel,-120.6962825,35.7524679,san_miguel.json
San Luis Obispo,-120.6596155,35.2827525,san_luis_obispo.json
Pismo Beach,-120.6412826,35.1427533,pismo_beach.json
Arroyo Grande,-120.5907251,35.1185869,arroyo_grande.json
Avila Beach,-120.7318417,35.1799752,avila_beach.json
Nipomo,-120.496418815962,35.0358216,nipomo.json
Solvang,-120.1390893,34.5958572,solvang.json
Santa Maria,-120.4358576,34.9531295,santa_maria.json
Orcutt,-120.4366903,34.8650717,orcutt.json
Grover Beach,-120.6218375,35.1209452,grover_beach.json
Los Osos,-120.8323486,35.3107214,los_osos.json
Oceano,-120.612393,35.0988648,oceano.json
Morro Bay,-120.8499012,35.3658075,morro_bay.json
Cambria,-121.0807467,35.5641381,cambria.json
San Simeon,-121.1907532,35.6438587,san_simeon.json
Harmony,-121.0226878,35.5085836,harmony.json
Cayucos,-120.8921253,35.4427512,cayucos.json
Los Olivos,-120.1148469,34.6677646,los_olivos.json
Santa Ynez,-120.104677321497,34.608637,santa_ynez.json
Buellton,-120.1936691,34.6134727,buellton.json
Santa Barbara,-119.7026672,34.4221319,santa_barbara.json
Goleta,-119.8276388,34.4358295,goleta.json
Summerland,-119.592119838442,34.424449,summerland.json
Carpinteria,-119.5184563,34.3988838,carpinteria.json
Montecito,-119.622205630583,34.4364435,montecito.json
Lompoc,-120.4579408,34.6391501,lompoc.json
Isla Vista,-119.861513,34.4133801,isla_vista.json
Fountain Valley,-117.9627348,33.7038145,fountain_valley.json
Westminster,-117.985892,33.7578041,westminster.json
Garden Grove,-117.9463716,33.7746292,garden_grove.json
Trabuco Canyon,-117.5893799,33.6626232,trabuco_canyon.json
Silverado,-117.6369938,33.7461295,silverado.json
Fullerton,-117.9294164,33.8708215,fullerton.json
Huntington Beach,-118.0000165,33.6783336,huntington_beach.json
La Mirada,-118.0107091,33.9060971,la_mirada.json
Santa Fe Springs,-118.0676102,33.9482434,santa_fe_springs.json
Cerritos,-118.0539322,33.8644291,cerritos.json
Norwalk,-118.0849168,33.9092802,norwalk.json
Seal Beach,-118.1046355,33.741176,seal_beach.json
Balboa Island,-117.8920818,33.6064778,balboa_island.json
Hesperia,-117.3008783,34.4263886,hesperia.json
Twin Peaks,-117.2336532,34.2388955,twin_peaks.json
Skyforest,-117.1792072,34.2352847,skyforest.json
Lake Arrowhead,-117.185753981831,34.2592869,lake_arrowhead.json
San Bernardino,-117.2897651,34.1083449,san_bernardino.json
Crestline,-117.293895511888,34.2495525,crestline.json
Highland,-117.2086512,34.1283442,highland.json
Loma Linda,-117.25204765,34.075626,loma_linda.json
Colton,-117.3136546,34.0739016,colton.json
Riverside,-117.3961622,33.9533546,riverside.json
Redlands,-117.248983896912,34.069909,redlands.json
Moreno Valley,-117.2305943,33.937517,moreno_valley.json
Perris,-117.2286477,33.7825194,perris.json
Menifee,-117.1770436,33.6864432,menifee.json
Beaumont,-116.9772479,33.9294606,beaumont.json
Cherry Valley,-116.970584340156,33.9795655,cherry_valley.json
Banning,-116.8752889,33.9255685,banning.json
Cabazon,-116.779534350758,33.9090305,cabazon.json
Oak Glen,-116.9478044,34.0494574,oak_glen.json
Palm Springs,-116.5403029,33.8246269,palm_springs.json
Yucaipa,-117.051671291906,34.040931,yucaipa.json
Palm Desert,-116.382571,33.7288179,palm_desert.json
Cathedral City,-116.4640764,33.7810031,cathedral_city.json
Desert Hot Springs,-116.5016783,33.961124,desert_hot_springs.json
Rancho Mirage,-116.4228595,33.763346,rancho_mirage.json
Indian Wells,-116.3383033,33.7217965,indian_wells.json
Indio,-116.2188053,33.7192808,indio.json
La Quinta,-116.2958788,33.677474,la_quinta.json
Coachella,-116.1763379,33.6795519,coachella.json
Thermal,-116.1394484,33.6403013,thermal.json
Mecca,-116.0745416,33.5701568,mecca.json
Chiriaco Summit,-115.7213794,33.6608533,chiriaco_summit.json
Joshua Tree,-116.320947788267,34.1265408,joshua_tree.json
Joshua Tree National Park,-115.951115484517,33.89706715,joshua_tree_national_park.json
Twentynine Palms,-116.0543505,34.1356915,twentynine_palms.json
Yucca Valley,-116.413654309413,34.14154,yucca_valley.json
Pioneertown,-116.4961262,34.1566737,pioneertown.json
Shafter,-119.285365133155,35.4698255,shafter.json
Mc Farland,-117.4034703,33.9619073,mc_farland.json
Bakersfield,-119.0194638,35.3738712,bakersfield.json
Delano,-119.2470535,35.7688425,delano.json
Allensworth,-119.3905251,35.8635518,allensworth.json
Tulare,-118.8525829,36.2516475,tulare.json
Lindsay,-119.0881599,36.2030064,lindsay.json
Exeter,-119.1420516,36.2960613,exeter.json
Visalia,-119.2920584,36.3302284,visalia.json
Traver,-119.484847,36.4552287,traver.json
Porterville,-119.0167678,36.06523,porterville.json
Three Rivers,-118.880338866976,36.4204965,three_rivers.json
Lemon Cove,-119.028361172222,36.3815895,lemon_cove.json
Hanford,-119.6456843,36.3274502,hanford.json
Dinuba,-119.3870655,36.5432837,dinuba.json
Kingsburg,-119.5538928,36.5138398,kingsburg.json
Sanger,-119.5559651,36.708006,sanger.json
Clovis,-119.7029193,36.8252277,clovis.json
Fresno,-119.714839601149,36.748793,fresno.json
Sequoia and Kings Canyon National Park,,,sequoia_and_kings_canyon_national_park.json
Dunlap,-119.1209468,36.738281,dunlap.json
Madera,-119.773799,37.1716264,madera.json
Chowchilla,-120.286426136452,37.1123505,chowchilla.json
Le Grand,-120.2482335,37.228554,le_grand.json
Merced,-120.4843268,37.3029568,merced.json
Stevinson,-120.8516177,37.3277436,stevinson.json
Turlock,-120.846594,37.4946568,turlock.json
Hilmar,-120.8502034,37.4085479,hilmar.json
Modesto,-120.9968781,37.6390972,modesto.json
Escalon,-121.006421984267,37.7544565,escalon.json
Riverbank,-120.9354894,37.7360396,riverbank.json
Oakdale,-120.8471544,37.7665947,oakdale.json
Ripon,-121.1243827,37.741595,ripon.json
Manteca,-121.2117147,37.7986184,manteca.json
Lathrop,-121.2766099,37.8227046,lathrop.json
Tracy,-121.4252226,37.7396513,tracy.json
Vernalis,-121.2871622,37.6307636,vernalis.json
Stockton,-121.2907795,37.9577016,stockton.json
Atwater,-120.6090839,37.3477174,atwater.json
Los Banos,-120.8505341,37.0592253,los_banos.json
Santa Nella,-122.9666643,38.497135,santa_nella.json
Gustine,-120.9988153,37.2577171,gustine.json
California Hot Springs,-118.6736994,35.8802282,california_hot_springs.json
Wofford Heights,-118.473698856169,35.7105005,wofford_heights.json
Kernville,-118.433945835615,35.7330735,kernville.json
Bodfish,-118.482262390993,35.568863,bodfish.json
Weldon,-118.314803898713,35.6434635,weldon.json
Lake Isabella,-118.484657714814,35.637646,lake_isabella.json
Camp Nelson,-118.6092614,36.1426695,camp_nelson.json
Ponderosa,-118.5281433,36.1055013,ponderosa.json
Taft,-119.4565077,35.1424671,taft.json
Maricopa,-119.4009508,35.058858,maricopa.json
Lost Hills,-119.677656844379,35.632387,lost_hills.json
Cholame,-120.2965383,35.7238556,cholame.json
Thousand Palms,-116.3935799,33.8217125,thousand_palms.json
Needles,-114.6141315,34.8480597,needles.json
Idyllwild,-116.7189074,33.7400209,idyllwild.json
Anza,-116.67457,33.5559483,anza.json
Palomar Mountain,-116.8786358,33.3228128,palomar_mountain.json
Aguanga,-116.8650234,33.4428094,aguanga.json
Valley Center,-117.0341966,33.2183701,valley_center.json
Pauma Valley,-116.9814166,33.3033679,pauma_valley.json
Escondido,-117.0814848,33.1216751,escondido.json
Pala,-117.0766964,33.3653102,pala.json
Rancho Bernardo,-117.0610494,33.0186103,rancho_bernardo.json
San Marcos,-117.1661448,33.1433723,san_marcos.json
Poway,-117.0358645,32.9628234,poway.json
San Diego,-117.1627713,32.7174209,san_diego.json
La Jolla,-117.2742085,32.8472711,la_jolla.json
Channel Islands National Park,-119.266377755078,34.248597,channel_islands_national_park.json
La Mesa,-117.0230838,32.7678288,la_mesa.json
Bonsall,-117.199620674145,33.276248,bonsall.json
Vista,-117.2425354,33.2000368,vista.json
Oceanside,-117.3794833,33.1958696,oceanside.json
Imperial Beach,-117.1130848,32.5839444,imperial_beach.json
Chula Vista,-117.0841954,32.6400541,chula_vista.json
Coronado,-117.183089,32.6858854,coronado.json
National City,-117.0991966,32.6781085,national_city.json
Bonita,-117.015961660775,32.664798,bonita.json
Santee,-116.9739166,32.8383828,santee.json
Lakeside,-116.896001239709,32.85041,lakeside.json
El Cajon,-116.9625268,32.7947731,el_cajon.json
Ramona,-116.867513120741,33.035378,ramona.json
Alpine,-119.8345012,38.5893934,alpine.json
Jamul,-116.8761346,32.7169988,jamul.json
Descanso,-116.6158524,32.8528287,descanso.json
Tijuana,-116.9641656,32.5008626,tijuana.json
Julian,-116.6023153,33.078597,julian.json
Cardiff-by-the-Sea,-117.2803462,33.0220155,cardiff-by-the-sea.json
Encinitas,-117.2919817,33.0369867,encinitas.json
Carlsbad,-117.3505938,33.1580933,carlsbad.json
Rancho Santa Fe,-117.198151484646,33.02419495,rancho_santa_fe.json
Solana Beach,-117.2691315,32.9905597,solana_beach.json
Del Mar,-117.2653145,32.9594891,del_mar.json
Los Barriles,-109.6995609,23.6818272,los_barriles.json
Ensenada,-115.231462477994,30.1927661,ensenada.json
Ensenada Blanca,-114.8243763,31.0551964,ensenada_blanca.json
Valle de Guadalupe,,,valle_de_guadalupe.json
Ensenada Municipality,,,ensenada_municipality.json
San Antonio de las Minas,,,san_antonio_de_las_minas.json
San Jose del Cabo,-109.7191831,23.0694682,san_jose_del_cabo.json
La Paz,-110.518542713371,24.10843275,la_paz.json
Cabo San Lucas,-109.9111324,22.8938107,cabo_san_lucas.json
Cabo Pulmo,-109.7159238,23.0351941,cabo_pulmo.json
Todos Santos,-110.2253736,23.4500668,todos_santos.json
El Pescadero,-122.3821926,37.2516018,el_pescadero.json
Santiago,-117.460743626056,33.7435727,santiago.json
Los Cabos,-109.689768313063,23.27184805,los_cabos.json
El Triunfo,-110.1085186,23.8031474,el_triunfo.json
Puerto San Carlos,-112.1076804,24.7895782,puerto_san_carlos.json
Baja California,-113.380835042571,27.35789705,baja_california.json
Baja California Sur,-116.5694918,31.9019585,baja_california_sur.json
San Ignacio,-116.5183498,33.3047587,san_ignacio.json
Loreto,-111.502049587939,25.88442735,loreto.json
Rosarito,-117.055626,32.3648126,rosarito.json
Puerto Nuevo,-116.934162,32.2430119,puerto_nuevo.json
La Salina,-109.9692165,22.9055058,la_salina.json
Bahia de Los Angeles,-116.6415805,31.871038,bahia_de_los_angeles.json
San Felipe,-116.5986297,33.1992068,san_felipe.json
San Ysidro,-117.0430812,32.5520013,san_ysidro.json
Jacumba,-116.187466295595,32.61858505,jacumba.json
El Centro,-115.5630513,32.792,el_centro.json
Campo,-122.4652506,37.8974258,campo.json
Boulevard,-116.2736289,32.6636712,boulevard.json
Ocotillo,-116.00918365,32.7416435,ocotillo.json
Holtville,-115.3794263,32.8104966,holtville.json
Tecate,-116.273657068655,32.43593355,tecate.json
Mexicali,-115.4440697,32.6200699,mexicali.json
Calipatria,-115.5141537,33.1255957,calipatria.json
Niland,-115.513553865844,33.2375654,niland.json
Calexico,-115.4987029,32.6790572,calexico.json
Imperial,-115.3595665,33.0305487,imperial.json
Lemon Grove,-117.0314171,32.7425516,lemon_grove.json
Columbia,-120.402418618899,38.03227005,columbia.json
Vallecito,-120.445671513835,38.0704785,vallecito.json
Jamestown,-120.404431068133,37.9588565,jamestown.json
Angels Camp,-120.5396455,38.0682555,angels_camp.json
Murphys,-120.450544693729,38.14834,murphys.json
Chinese Camp,-120.444139115596,37.86918775,chinese_camp.json
Sonora,-120.382138,37.9840911,sonora.json
Twain Harte,-120.238493978094,38.0337345,twain_harte.json
Mountain Ranch,-120.506806780094,38.235224,mountain_ranch.json
Pine Grove,-123.814182,39.3493389,pine_grove.json
Volcano,-120.6309634,38.4427907,volcano.json
Kelseyville,-122.837167414265,38.9650885,kelseyville.json
Clearlake,-122.6263727,38.9582307,clearlake.json
Middletown,-122.624194776342,38.7528585,middletown.json
Cobb,-122.723045,38.8221258,cobb.json
Clearlake Oaks,-122.651520290803,39.0174285,clearlake_oaks.json
Lakeport,-122.9158292,39.0429506,lakeport.json
Nice,-122.835602036283,39.121271,nice.json
Upper Lake,-122.903168583979,39.1480125,upper_lake.json
Lower Lake,-122.618896438119,38.8975815,lower_lake.json
Jackson,-120.7741017,38.3488024,jackson.json
Sutter Creek,-120.8024356,38.3929675,sutter_creek.json
Mokelumne Hill,-120.711143743929,38.3013435,mokelumne_hill.json
Fallbrook,-117.2511465,33.3764196,fallbrook.json
Temecula,-117.147366,33.4946353,temecula.json
Murrieta,-117.2106563,33.560832,murrieta.json
Lake Elsinore,-117.3272614,33.6680772,lake_elsinore.json
Winchester,-117.063281109757,33.7193845,winchester.json
Hemet,-117.035766536246,33.778562,hemet.json
San Jacinto,-116.9586349,33.7839084,san_jacinto.json
Santa Ysabel,-116.6730762,33.1092099,santa_ysabel.json
Warner Springs,-116.6336302,33.2822596,warner_springs.json
Norco,-117.55089,33.9323307,norco.json
Jurupa Valley,-117.4515753,33.9798472,jurupa_valley.json
Ontario,-117.6484303,34.065846,ontario.json
Corona,-121.9969062,37.0066161,corona.json
Temescal Valley,-117.485323,33.762796,temescal_valley.json
Morongo Valley,-116.596723958419,34.0537585,morongo_valley.json
Fontana,-117.4350479,34.0922335,fontana.json
San Dimas,-117.8067256,34.1066756,san_dimas.json
Claremont,-117.7197784,34.0966764,claremont.json
Upland,-117.6483875,34.09751,upland.json
Montrose,-118.2288886,34.2064181,montrose.json
La Crescenta,-118.2403973,34.2239835,la_crescenta.json
Montclair,-117.6897775,34.0775104,montclair.json
Brea,-117.8888556,33.9170444,brea.json
Yermo,-116.8203126,34.9049849,yermo.json
Lucerne Valley,-116.9455238,34.4436167,lucerne_valley.json
Big Bear City,-116.848597753191,34.267886,big_bear_city.json
Fawnskin,-116.9425341,34.2680621,fawnskin.json
Big Bear Lake,-116.932209587315,34.253293,big_bear_lake.json
Big Bear Region,,,big_bear_region.json
Running Springs,-117.124877511921,34.2124412,running_springs.json
West Covina,-117.9389525,34.0686208,west_covina.json
