mention_name,mention_type,mention_popularity,mention_address,mention_longitude,mention_latitude,no_of_blogFiles,mention_found_in_blogFiles,youTubeLinkIds
morena blvd,secondary,1,"Morena Boulevard, Pacific Beach, San Diego, San Diego County, California, 92110, United States of America",-117.2209089,32.816795,19,"anaheim_and_carlsbad.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san bernardino.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_temecula.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json","tiWOKleGLyM,h4PiFV5RYu8,x_2G3XFJSJ0"
coldwater creek,stream,1,"Coldwater Creek, Plumas County, California, United States of America",-121.200649,39.8227496,1,avalon_and_fresno.json,"Cgq-xh_ZGO0,3JzrQ3H2KFk,ed667laG6PA"
mount baldy ca,hamlet,1,"Mount Baldy, Los Angeles County, California, United States of America",-117.6600552,34.2361168,139,"anaheim_and_avalon.json,anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_beverly hills.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_malibu.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_riverside.json,anaheim_and_sacramento.json,anaheim_and_san bernardino.json,anaheim_and_san diego.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,anaheim_and_temecula.json,avalon_and_bakersfield.json,avalon_and_berkeley.json,avalon_and_beverly hills.json,avalon_and_fremont.json,avalon_and_fresno.json,avalon_and_mammoth lakes.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_pasadena.json,avalon_and_pismo beach.json,avalon_and_riverside.json,avalon_and_sacramento.json,avalon_and_san bernardino.json,avalon_and_san diego.json,avalon_and_san jose.json,avalon_and_malibu.json,avalon_and_santa ana.json,bakersfield_and_san bernardino.json,beverly hills_and_carlsbad.json,beverly hills_and_sausalito.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,avalon_and_temecula.json,bakersfield_and_beverly hills.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_irvine.json,bakersfield_and_malibu.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_pasadena.json,bakersfield_and_riverside.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san bernardino.json,berkeley_and_beverly hills.json,berkeley_and_carlsbad.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_riverside.json,beverly hills_and_temecula.json,carlsbad_and_fremont.json,carlsbad_and_fresno.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_mammoth lakes.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_sausalito.json,fremont_and_irvine.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san bernardino.json,fremont_and_temecula.json,fresno_and_irvine.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_temecula.json,irvine_and_monterey.json,irvine_and_oakland.json,irvine_and_riverside.json,irvine_and_san bernardino.json,irvine_and_san jose.json,irvine_and_sausalito.json,fremont_and_riverside.json,fresno_and_riverside.json,irvine_and_pasadena.json,malibu_and_oakland.json,malibu_and_riverside.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_stockton.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_temecula.json,malibu_and_monterey.json,newport beach_and_sacramento.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,pasadena_and_riverside.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,riverside_and_sacramento.json,riverside_and_san jose.json,riverside_and_sausalito.json,riverside_and_stockton.json,san bernardino_and_sausalito.json,san bernardino_and_temecula.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_temecula.json,sacramento_and_san diego.json,oakland_and_temecula.json,pasadena_and_san bernardino.json,irvine_and_stockton.json,san jose_and_temecula.json,sausalito_and_temecula.json,stockton_and_temecula.json","viU5WEdfsVk,G1qseJlX9zU,dQok05xvmN4"
sierra,administrative,28,"Sierra County, California, United States of America",-120.530573,39.5849065,56,"anaheim_and_berkeley.json,anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_riverside.json,berkeley_and_santa monica.json,beverly hills_and_mammoth lakes.json,beverly hills_and_san jose.json,big bear lake_and_mammoth lakes.json,big bear lake_and_sacramento.json,carlsbad_and_fresno.json,carlsbad_and_mammoth lakes.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,fremont_and_mammoth lakes.json,fresno_and_irvine.json,fresno_and_napa.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_stockton.json,fresno_and_temecula.json,irvine_and_mammoth lakes.json,los angeles_and_mammoth lakes.json,los angeles_and_sacramento.json,los angeles_and_sausalito.json,mammoth lakes_and_monterey.json,mammoth lakes_and_napa.json,mammoth lakes_and_oakland.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san francisco.json,mammoth lakes_and_san jose.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa clarita.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_stockton.json,mammoth lakes_and_temecula.json,monterey_and_sacramento.json,napa_and_riverside.json,napa_and_santa clarita.json,mammoth lakes_and_sausalito.json,monterey_and_santa monica.json,oakland_and_pasadena.json,oakland_and_santa monica.json,pasadena_and_sacramento.json,riverside_and_stockton.json,sacramento_and_santa monica.json,san jose_and_temecula.json,santa monica_and_sausalito.json",WoPzFOgHTws
carlton laguna niguel,residential,1,"Carlton Court, Village Niguel Gardens, Laguna Niguel, Orange County, California, 92656, United States of America",-117.7060862,33.565755,1,malibu_and_pasadena.json,"_4aFdpg75Ik,MNqBsv9wEIo,zJ9MvzIiwE0"
the riviera,administrative,1,"La Riviera, Sparks Way, Mayhew, Sacramento County, California, 95827, United States of America",-121.351801220501,38.568972,1,fremont_and_san diego.json,"gijAeTm9d8Y,K4B-WX6sr40,uuizw9kc-kQ"
santee street,primary,1,"Santee Street, Skid Row, Bunker Hill, LA, Los Angeles County, California, 90015, United States of America",-118.2517859,34.041247,1,beverly hills_and_pasadena.json,"ISsRylvdAqs,L8UBVczx40s,qkTqViolPoU"
lakemont avenue,hamlet,1,"Lakemont Pines, Calaveras County, California, United States of America",-120.3713089,38.2351956,1,pasadena_and_sacramento.json,"Q9J5-WrKCy8,n_MWDqu8GTI,3pSKi0FjyrQ"
panorama city,neighbourhood,2,"Panorama City, Sepulveda, LA, Los Angeles County, California, 91402, United States of America",-118.4498051,34.224726,20,"bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json","sR4Tqme9I1k,EvRM9iKgpMU,yz5iLkViRSw"
grand view point,peak,1,"Grand View Point, San Bernardino County, California, United States of America",-116.9228215,34.2133488,1,big bear lake_and_santa barbara.json,"uObD5aGLRpo,l0f0BesVbZ8,ey0V6JFGS1M"
cooper rd,residential,1,"Cooper Road, Oxnard, Ventura County, California, 93030, United States of America",-119.1727199,34.20452,1,pasadena_and_sacramento.json,"xvaEJzoaYZk,5YMw2khzOKY"
vermont ave.,secondary,3,"Vermont Avenue, Wildasin, Florence, LA, Los Angeles County, California, 90044, United States of America",-118.2914818,33.9890027,21,"bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_riverside.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json","SBL8sJ2B6J8,vgfrqrPs9Z0,CXtvMOChfHk"
william s. hart park,tree,3,"William S Hart Park, La Loma Road, Newhall, Santa Clarita, Los Angeles County, California, SCV, United States of America",-118.5273077,34.3755536,9,"avalon_and_santa clarita.json,big bear lake_and_santa clarita.json,long beach_and_santa clarita.json,los angeles_and_santa clarita.json,mammoth lakes_and_santa clarita.json,sacramento_and_santa clarita.json,santa clarita_and_sausalito.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json","QJSp1mLxAgY,XmR_ZfAkeIs,hFQMZlPpiZk"
