mention_name,mention_type,mention_popularity,mention_address,mention_longitude,mention_latitude,no_of_blogFiles,mention_found_in_blogFiles,youTubeLinkIds
south eden,isolated_dwelling,1,"Eden, Menifee, Riverside County, California, United States of America",-117.0550289,33.8780732,2,"big bear lake_and_fremont.json,big bear lake_and_huntington beach.json","qkHjLQqPb4g,BorhiSfLhJk,HT3TINV_L7k"
ashby bart station,car_sharing,1,"Ashby BART, Martin Luther King Jr Way, South Berkeley, Berkeley, Alameda County, California, 94703, United States of America",-122.2705915,37.8520696,5,"berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_oakland.json,berkeley_and_sacramento.json,berkeley_and_fremont.json","T92zwdBGxhA,XZ9_JipHQR0,uWpCWMaP2cQ"
prescott avenue,residential,1,"Prescott Avenue, San José, Santa Clara County, California, 95124, United States of America",-121.92039,37.2601689,1,fremont_and_monterey.json,"0gHE0khIz1I,bsuey09Q-EM,W7C1SCzyqB8"
badwater basin,water,6,"Badwater Basin, Badwater Road, Inyo County, California, United States of America",-116.767444033304,36.2302592,18,"anaheim_and_mammoth lakes.json,bakersfield_and_mammoth lakes.json,bakersfield_and_temecula.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,carlsbad_and_fresno.json,fremont_and_pasadena.json,fresno_and_santa monica.json,long beach_and_sacramento.json,malibu_and_sausalito.json,mammoth lakes_and_oakland.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san diego.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_temecula.json,napa_and_pismo beach.json,newport beach_and_sausalito.json","zXwoFM0f9-U,I4BkfkB4JiA,Z7j6gLoGpkA"
beach blvd,primary,4,"Beach Boulevard, Huntington Beach, Orange County, California, 92648, United States of America",-117.988908,33.6894319,4,"avalon_and_huntington beach.json,fremont_and_huntington beach.json,fresno_and_huntington beach.json,huntington beach_and_san diego.json","Jfhj-ewRB2w,331eId9AGqM,hY97knfTg9Q"
state of california,prison,1,"Pleasant Valley State Prison, West Firestone Avenue, Fresno County, California, United States of America",-120.245081041269,36.1299191,2,"carlsbad_and_fresno.json,long beach_and_sacramento.json","Xly-328eS0o,4cmSOs8cSoo,panaJZaffYk"
madison avenue,primary,1,"Madison Avenue, California Oaks, Murrieta, Riverside County, California, 92562, United States of America",-117.195836,33.5530136,1,riverside_and_sacramento.json,"Tn-qE-h7s84,r1FFfBp9zsc,a17E0IS6CQo"
malibu surfrider beach,motel,1,"Surfrider Beach Club, Pacific Coast Highway, Malibu, Los Angeles County, California, 90265, United States of America",-118.6779234,34.0371052,1,riverside_and_santa monica.json,"zBh25Kh1Zx8,ZPO1zpDqQ8I,pkQjMXbb2Fc"
diridon caltrain station,bicycle_rental,1,"San Jose Diridon Caltrain Station, Crandall Street, Little Italy, Buena Vista, San José, Santa Clara County, California, 95110, United States of America",-121.9017328,37.3297214,1,san jose_and_stockton.json,"UXvOJ4cPC-E,PoindioOT5U,BYB4OcYm8G4"
concord road,residential,2,"Concord Road, Sacramento, Sacramento County, California, 95820, United States of America",-121.4176099,38.531976,3,"mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json","daPIf10DfeE,33ngFkuMJYs,rNCIfvmSgiM"
east field,pitch,1,"East Field, Zelzah Avenue, Northridge, LA, Los Angeles County, California, 91344, United States of America",-118.524003299971,34.24176515,1,riverside_and_santa cruz.json,"q6cFCpruJ2s,hnuiAz8O9t0"
monument valley,national_park,2,"Cabrillo National Monument, Humphreys Road, San Diego, San Diego County, California, 92106, United States of America",-117.240985998975,32.6722183,2,"carlsbad_and_irvine.json,carlsbad_and_sacramento.json","07T8OXtGCbI,_naVLF0mefo,zchEMcZtI3M"
w. harbor drive,primary,1,"West Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",-117.1651666,32.709333,10,"anaheim_and_carlsbad.json,avalon_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san jose.json,san jose_and_temecula.json","Sgqla8pXfzk,rs9x9AZXSws,jJFCHxdgUe8"
