"mention_name","mention_type","mention_popularity","mention_address","mention_longitude","mention_latitude","no_of_blogFiles","mention_found_in_blogFiles","youTubeLinkIds"
"santa monica route","city","11","Santa Monica, Los Angeles County, California, United States of America","-118.4869738","34.0195598","6","fremont_and_santa monica.json,newport beach_and_santa monica.json,oakland_and_santa monica.json,riverside_and_santa monica.json,santa ana_and_santa monica.json,santa clarita_and_santa monica.json","eAXPEWtLNLY,VmxGh_neblc,KdEDJr8lGto"
"santa rosa county","city","1","Santa Rosa, Sonoma County, California, United States of America","-122.7144313","38.4404675","1","beverly hills_and_oakland.json","PPlRLFKCFpk,xsrBn8D5QQ8,qkN2svjMRMI"
"scotts valley","city","1","Scotts Valley, Santa Cruz County, California, United States of America","-122.014684","37.0510595","1","san luis obispo_and_santa cruz.json","5g9IY6o01Q8,HIlv_nGwgGA,vl-Ne_LbgX0"
"se belmont","city","1","Belmont, San Mateo County, California, United States of America","-122.2758007","37.5202145","1","pasadena_and_sacramento.json","8D2VjFkIqxI,xRMUgRSyfb8,q1Yzh77SB1Y"
"selma","city","1","Selma, Fresno County, California, United States of America","-119.6120764","36.5707838","1","bakersfield_and_fresno.json","x6t7vVTxaic,VWrEif80UIo,ZzbKaDPMoDU"
"soledad","city","12","Soledad, Monterey County, California, United States of America","-121.3272146","36.4269452","126","anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,avalon_and_monterey.json,avalon_and_san jose.json,berkeley_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,bakersfield_and_santa cruz.json,berkeley_and_los angeles.json,berkeley_and_monterey.json,berkeley_and_pismo beach.json,berkeley_and_san diego.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,beverly hills_and_san francisco.json,carlsbad_and_monterey.json,carlsbad_and_san jose.json,carlsbad_and_santa cruz.json,fremont_and_fresno.json,fremont_and_los angeles.json,fremont_and_monterey.json,fremont_and_san diego.json,fresno_and_monterey.json,fresno_and_san diego.json,fresno_and_san luis obispo.json,fresno_and_santa cruz.json,huntington beach_and_monterey.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_san luis obispo.json,irvine_and_monterey.json,irvine_and_pismo beach.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,irvine_and_santa cruz.json,fresno_and_riverside.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_san jose.json,los angeles_and_monterey.json,los angeles_and_oakland.json,los angeles_and_pismo beach.json,los angeles_and_sacramento.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_stockton.json,malibu_and_san jose.json,malibu_and_stockton.json,mammoth lakes_and_monterey.json,monterey_and_oakland.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_san jose.json,monterey_and_santa clarita.json,monterey_and_temecula.json,napa_and_santa ana.json,napa_and_santa clarita.json,napa_and_santa cruz.json,los angeles_and_santa cruz.json,newport beach_and_santa cruz.json,oakland_and_pasadena.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa clarita.json,oakland_and_santa cruz.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pismo beach_and_riverside.json,pismo beach_and_sacramento.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_san jose.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa cruz.json,sacramento_and_santa monica.json,san bernardino_and_san francisco.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa cruz.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa cruz.json,san jose_and_san luis obispo.json,san jose_and_santa ana.json,san jose_and_santa barbara.json,sacramento_and_san diego.json,oakland_and_pismo beach.json,irvine_and_stockton.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa cruz_and_stockton.json","FQaid7WMr4g,Lv4sDLAGCmg,k6fNEvpJcNI"
"solvang california","city","1","Solvang, Santa Barbara County, California, United States of America","-120.1390893","34.5958572","1","santa ana_and_sausalito.json","Wg18imkAS7g,mLbz1z-GWlc,pzshBLeb3OQ"
"south bakersfield","city","1","Bakersfield, Kern County, California, United States of America","-119.0194638","35.3738712","4","bakersfield_and_fresno.json,bakersfield_and_long beach.json,bakersfield_and_pismo beach.json,bakersfield_and_san francisco.json","1-vFQBOIGwg,U1C454tD9r8,c36h0_N-ecE"
"south carlsbad","city","2","Carlsbad, San Diego County, California, United States of America","-117.3505938","33.1580933","26","bakersfield_and_carlsbad.json,bakersfield_and_malibu.json,berkeley_and_malibu.json,berkeley_and_riverside.json,carlsbad_and_mammoth lakes.json,carlsbad_and_pasadena.json,carlsbad_and_temecula.json,fresno_and_malibu.json,fresno_and_pasadena.json,irvine_and_mammoth lakes.json,fresno_and_riverside.json,los angeles_and_mammoth lakes.json,long beach_and_mammoth lakes.json,malibu_and_oakland.json,malibu_and_sacramento.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,oakland_and_santa barbara.json,riverside_and_stockton.json,san bernardino_and_san luis obispo.json","HzTmIyzbGtM,uGp9fpHg63g,iya-Zx5F1NU"
"south fremont","city","1","Fremont, Alameda County, California, United States of America","-121.9885718","37.5482697","1","fremont_and_san bernardino.json","6B5Sc7ztFNs,EZY4N163F7k,cGMDQPB_fbE"
