attraction_in,attraction_longitude,attraction_latitude,attraction_in_file,youTubeLinkIds
Newhall,-118.5291916,34.3798765,newhall.json,"djr5tt1TsQ4,3anY2z0bxP8,rsNe2HHUVzQ"
South Lake Tahoe,-119.987846390157,38.929125,south_lake_tahoe.json,"9xsZuUG469w,i_KpX1D6QWA,vwe3QnSVTmU"
Santa Clarita,-118.5425859,34.3916641,santa_clarita.json,"1zcf_dgeFhs,_o9j9Zrj42A,3xWgcVv5n3U"
Castaic,-118.6228655,34.4888822,castaic.json,"PEa6NXM2SAs,0u3sx522moA,Txj3FuuRg9g"
Bell Gardens,-118.1514587,33.9652918,bell_gardens.json,"WBdyvbXs2aA,ENztAAQKXvM,7sVuwQOSxDs"
Gardena,-118.3070891,33.8883302,gardena.json,"EEIvpWVYppI,JPZN6V1uaic,FinPIcUA3OU"
Compton,-118.2260433,33.8948824,compton.json,"H6aJP1TmYcg,-d1JVbf7Wd4,sty9dGG8JY4"
Saugus,-118.5168256,34.4493489,saugus.json,"uHUn2KcUccU,INB129BXsiE,mvD5E_IBKNM"
Paramount,-118.1707029,33.8984873,paramount.json,"U8XPqDTyPro,q-Dz_FngKCo,UMJW-V-Gmb4"
Hawthorne,-118.3477941,33.9113109,hawthorne.json,"87uETsrePyM,ayT21TmbXWg,OFWtf0ghSyk"
Bellflower,-118.1167678,33.8825705,bellflower.json,"RF12mYz2O7M,01BVkXRmqS0"
El Segundo,-118.3829549,33.9122175,el_segundo.json,"jtrF479Dzj4,4A4u1wpNJhk,lum-Wq8FtIY"
Inglewood,-118.353131,33.9616801,inglewood.json,"6q65OvNWHPw,mB79HlsiYVg,-Cl0qEsqgME"
Tahoe City,-120.138803,39.1721291,tahoe_city.json,"UjJuK-4iA9w,kvQP-Rp2Bhs,nMRc9JeG8Eo"
Lakewood,-118.1171913,33.8503463,lakewood.json,"33RLVitmJOM,6cbunx8A-xI,j_juxC1WVME"
Burbank,-118.3258553,34.1816482,burbank.json,"P-IjNfRM9uY,eaWfyBR8wyU,lOHD_p4eDMo"
Long Beach,-118.158049215311,33.78538945,long_beach.json,"5tEAcOwYmNY,TYaK8VYTqZs,jPy5V0OfhSY"
Calabasas,-118.6440972,34.1446643,calabasas.json,"0PzYTSJcQdg,30jSLxKApnM,PIwCA0N20cY"
Catalina Island,-118.424154004558,33.3890232,catalina_island.json,"fu9VhOMYYlQ,s-uLCchHcNs,H8bYcZun6Ls"
West Hollywood,-118.3617442,34.0900091,west_hollywood.json,"gv7C9xE8a9I,i1myxXtNIyg,ML3GNhhniQo"
Los Alamitos,-118.0772432,33.8038865,los_alamitos.json,"7cRtvHNrl3E,5Oa3ESvuDXo,Yjp_21NJv2o"
Newport Beach,-117.92944,33.6170092,newport_beach.json,"VeHL42qqVRI,QSzaQYmCrg0,MQrmNN13NJ4"
Santa Monica,-118.4869738,34.0195598,santa_monica.json,"X6yt8-BKXsE,gxxDKST5wpI,kkQrPjL20nA"
Glendale,-118.248367,34.1423455,glendale.json,"NHF_zr-MLcQ,7GC1VLmJkWQ,eaWfyBR8wyU"
Malibu,-116.5023561,33.7932142,malibu.json,"hcjVLL-kIkQ,k1hePp0blIA,gv7C9xE8a9I"
Topanga,-118.5970195,34.0908165,topanga.json,"M6UUPxXyNS8,LTweCWM2djQ,WEcsb2hkOyg"
Westlake Village,-118.8056473,34.1458389,westlake_village.json,"heUIqPNK9BQ,FQVfgwFeZfY,HKzO0S_87Xo"
Agoura,-118.7381106,34.1430352,agoura.json,"8rbimyczy3Q,GavMj-A_jqI,rO3rN58txVM"
Simi Valley,-118.7814819,34.2694474,simi_valley.json,"B6K9u0QOTrQ,2MNm7VxZMRI,8tL4sjHQSTk"
Fillmore,-118.9125092,34.3985613,fillmore.json,"OoVBWGIwCQ4,UascVHczwh0,ozS5Vuf3TIY"
Moorpark,-118.8820413,34.285558,moorpark.json,"icKygOunuDM,3nLLeiYcMeY,2TFJjsRFcBw"
Thousand Oaks,-118.910587629744,34.17142715,thousand_oaks.json,"fbWUX5ffvDY,zL4WXOKd7GM,G96avQpRULs"
Santa Paula,-119.0592704,34.3541659,santa_paula.json,"aXAKU0Yd7S0,-89tMr3t9uc,iIb_BY4xBdI"
Newbury Park,-118.9106524,34.184172,newbury_park.json,"w54OGvnrYxg,ytJFyU9JsXU,hOuyHHwsFTk"
Camarillo,-119.0376023,34.2163939,camarillo.json,"gNNiJnxMJXk,PBtW8H0TYBU,d3d1saTupoI"
Somis,-118.9962123,34.2572261,somis.json,"lQHlZoB1Yjw,qV9qvhf0Qok,5asta0f3cNY"
Ventura,-119.310582204204,34.364744,ventura.json,"RcLEncdAVis,fNwKw2DTHwQ,q8zsczRMm5o"
Ojai,-119.2428889,34.4480495,ojai.json,"YQQ805QFT8k,MqxoJbD8Hqw,c93SNzQlwyw"
Frazier Park,-118.957762768551,34.8115546,frazier_park.json,"EUeirkf2nDE,AfybL4KaB9w,Kg_X1I1vckY"
Pine Mountain Club,-119.168961537075,34.843156,pine_mountain_club.json,"y5XvHBCalOM,eW12RytOOfc,baOzEGngC40"
Arvin,-118.8284309,35.209129,arvin.json,"dw7yRGWYbZ4,hjKQqGsUQxo"
Gorman,-118.8535679,34.7942511,gorman.json,"sO4rHTL2Wms,7GnkCu8Igg0"
Lebec,-118.892844953761,34.8401975,lebec.json,"NvkM1nb1DLQ,VEkl7Sx6HcY,-ivZjHuTkD4"
Lake Hughes,-118.4487111,34.6774576,lake_hughes.json,"AvnjqgXimx8,4RAAUa5ijDI,9OUtlDdpz0A"
Oxnard,-119.1803817,34.1976308,oxnard.json,"WV_wwAZXk4g,ghsNwdhPnac"
Port Hueneme,-119.1951073,34.1477829,port_hueneme.json,"NP-uvESmIpY,ccK8pQsAjSY,9K2r5TZmRH8"
Piru,-118.7939823,34.4152743,piru.json,"nLOvfw7CanY,T5lVSh7ASNE,plKrZKl3xR0"
Agoura Hills,-118.7745347,34.1363945,agoura_hills.json,"8rbimyczy3Q,GavMj-A_jqI,rO3rN58txVM"
Manila,-124.1622855,40.8517929,manila.json,"1ZhIi8EX984,M0a9ePIhLDU,ZdQSWTztmFU"
Cantil,-117.968403,35.3088502,cantil.json,"uVmvbpy5E2o,ccCBh1T-gLI"
Boron,-117.668060165467,35.0199035,boron.json,"oKPO-DGvLRE,W2_sGGkaNho,pevy38vwvhQ"
Ridgecrest,-117.6699413,35.6225064,ridgecrest.json,"dSExeOf0Ajw,nf--RXS68Mg,v47m9jQ57nc"
Edwards,-117.9350682,34.9260827,edwards.json,"PinYkmo_X8E,RQmgmIqUrrM,UmwabxWn_jk"
Rosamond,-118.1634074,34.8641446,rosamond.json,"kUyhtWwm4Bc,J_b59nX5cZg,oO8s7OgoIKk"
China Lake,-117.6617299,35.6507888,china_lake.json,"h39cTjDDRnw,RqQ0zqyp6_g,cbGx_00xM0E"
Lancaster,-118.1366152,34.6981064,lancaster.json,"JskBa-3PZf4,c1SIuQDmW9Q,OBmOK6IG-Lo"
Trona,-117.3728345,35.7627322,trona.json,"1DwMiT_LAks,A-amSgxv6CY,XMkPZBbqjAA"
Littlerock,-117.987393496953,34.5213675,littlerock.json,"0WlNVj_KhtI,y7ZNNG4nWVE,KKkBY4mosF4"
Pearblossom,-117.909788,34.506383,pearblossom.json,"_qBjTQKKnOg,mvoE-ZLMGSw,pl0LMMJV4kU"
Palmdale,-118.1171107,34.5793131,palmdale.json,"tjFqmidggN8,-l-JSogNZZc,qErB3nfgb8M"
Azusa,-117.9056045,34.1338751,azusa.json,"oQiHk-FNXFU,ojIKarxqYHI,tsd_8cTqo-s"
Glendora,-117.8653389,34.1361187,glendora.json,"uWIQz_vvx18,twisX-1i4_c,sJA_4td6VV8"
Wrightwood,-117.627599739034,34.3583535,wrightwood.json,"DfeDuvfFT-M,GXDgEEEwGuw,95Cb_adRCs4"
Mount Baldy,-117.6600552,34.2361168,mount_baldy.json,"viU5WEdfsVk,wkaqQ6hLuQY,mHovzNxnP5c"
Covina,-117.8891163,34.0877926,covina.json,"2LoVt3fbZVw,gHqWZI1hQ9U,tsd_8cTqo-s"
Phelan,-117.5725025,34.426298,phelan.json,"CLhCzpF4p2s,L3FnCfDV8wM"
Irwindale,-117.9353412,34.1069527,irwindale.json,"-XxR7vjOiBE,MFJo44kuSRU,R7wPJbKvSmY"
Alta Loma,-117.5985774,34.122887,alta_loma.json,"lJu40It8UL8,6ECMJYjPUiU,97TfevpmTzs"
Victorville,-117.2911564,34.5361067,victorville.json,"uWIQz_vvx18,mNCBQhyJvWA,y4yXDKEM6_k"
Rancho Cucamonga,-117.5751734,34.1033192,rancho_cucamonga.json,"lJu40It8UL8,97TfevpmTzs,jWnozJ9HZn4"
Arcadia,-118.0401496,34.1362075,arcadia.json,"LfCsOwMc3hk,Kuk5E83aW0U,qXfLo5CaxtA"
Apple Valley,-117.1858758,34.5008311,apple_valley.json,"CTtTeZuN6Zc,JbtS66VPq9g"
El Monte,-118.0368489,34.0751571,el_monte.json,"fVId9UVtzpM,kImRVHvA4aw,54K-UNBxzWI"
Sierra Madre,-118.0528455,34.1616729,sierra_madre.json,"4Ah1z4i3Y5A,krqqNqMaMhA"
Montebello,-118.1119749,34.0159398,montebello.json,"rN_2JBrOm6U,fSlIzyUeRIU,okGozBWShLw"
South El Monte,-118.0467338,34.0519548,south_el_monte.json,"zK-4s2-pjKQ,gl295I7YMZs,qPYH6mjMnwQ"
Adelanto,-117.4092149,34.5827699,adelanto.json,"Jpmc6_t5ooI,1ZxPhxH5AS8"
Whittier,-118.0336974,33.9748932,whittier.json,"tvqVxgw1Eck,ILaeoXnSgjo,l1LYIBVhjzI"
Oro Grande,-117.3342133,34.5988813,oro_grande.json,"xcpXlOh1ZFI,9yUO8cvwLHU,5N5_RvWXt3c"
Monterey Park,-118.1292289,34.0512156,monterey_park.json,"kPDYgUyiGaY,kbw-V4F_bz8,Jb7Az_2pj-Y"
Barstow,-117.0172076,34.8957684,barstow.json,"WI7MSUZUxFw,njpg5_DHNp4,aSGmXdZgO2o"
South Pasadena,-118.147829,34.1133062,south_pasadena.json,"RakCRDeBB9Y,3qgFIdJv-6g,OkyjgbWhnIU"
Hacienda Heights,-117.9686754,33.9930677,hacienda_heights.json,"5p2lGXxD5Ig,jK4r5d81mnU,Vek--AC45p4"
Pasadena,-118.1444778,34.1476452,pasadena.json,"44RDCtjpmHU,8IfUcIJ8r3g,OkyjgbWhnIU"
San Marino,-118.1057393,34.1215947,san_marino.json,"2hzaDkJ02yQ,-mIuAAMteyw,wtM3hhFWMng"
La Habra,-117.9461073,33.9318775,la_habra.json,"_hnb_SFnqBE,m8Gafoc7CJY"
City of Industry,-117.944400918335,34.01132905,city_of_industry.json,"ivgIusbNasA,jSNhFSebvjs,SGSmC_CCYgI"
