"attraction_in","no_of_attractions"
"Pollock Pines","4"
"Drytown","2"
"Sutter Creek","9"
"Ione","4"
"Jackson","11"
"Valley Springs","2"
"Pine Grove","2"
"Mokelumne Hill","3"
"Volcano","1"
"Kelseyville","4"
"Middletown","5"
"Clearlake","2"
"Cobb","2"
"Clearlake Oaks","2"
"Lower Lake","4"
"Lakeport","5"
"Nice","4"
"Upper Lake","1"
"San Andreas","2"
"Ranch","1"
"Murphys","15"
"Columbia","6"
"Vallecito","3"
"Angels Camp","6"
"Jamestown","4"
"Herald","1"
"Acampo","8"
"Sloughhouse","2"
"Lodi","13"
"El Dorado Hills","7"
"Rescue","1"
"Colfax","2"
"Nevada City","9"
"Grass Valley","11"
"Wheatland","1"
"Sutter","2"
"Yuba City","6"
"Colusa","4"
"Marysville","8"
"Willows","4"
"Penn Valley","4"
"Oroville","8"
"Paradise","3"
"Chico","7"
"Vina","1"
"Corning","5"
"Williams","3"
"Orland","1"
"Butte City","1"
"Shingle Springs","1"
"West Sacramento","6"
"Clarksburg","2"
"Elk Grove","7"
"Sierraville","1"
"Portola","6"
"Clio","3"
"Graeagle","6"
"Quincy","3"
"Taylorsville","2"
"Susanville","5"
"Blairsden","1"
"Sierra City","3"
"Galt","3"
"Walnut Grove","5"
"Fairfield","15"
"Vacaville","6"
"Suisun City","2"
"Woodland","7"
"Pleasant Grove","2"
"Lafayette","1"
"Santa Cruz","180"
"Scotts Valley","5"
"Soquel","6"
"Capitola","8"
"Davenport","4"
"Monterey","2143"
"Sand City","2"
"Marina","6"
"Pebble Beach","5"
"Moss Landing","2"
"Monterey County","2"
"Salinas","11"
"Carmel","143"
"Carmel Valley","4"
"Soledad","6"
"Greenfield","2"
"Paicines","1"
"King City","4"
"Lassen Volcanic National Park","7"
"Mineral","2"
"Cassel","1"
"Old Station","2"
"Fall River Mills","1"
"Hat Creek","1"
"Burney","1"
"Shasta Lake","3"
"McCloud","2"
"Mount Shasta","8"
"Dunsmuir","3"
"Big Sur","2"
"Three Rivers","5"
"Sequoia and Kings Canyon National Park","18"
"Lemon Cove","2"
"Visalia","8"
"Tulare","2"
"Hanford","5"
"Dinuba","3"
"Kingsburg","4"
"Sanger","5"
"Clovis","7"
"Fresno","26"
"Madera","11"
"Chowchilla","2"
"Le Grand","1"
"Merced","9"
"Stevinson","1"
"Los Banos","1"
"Santa Nella","1"
"Gustine","2"
"Hollister","11"
"Gilroy","12"
"San Juan Bautista","6"
